videoid,category,userid
cA-O4oS-Wb8,Film & Animation,3
AUzkqT1Gaos,Music,3
Ttl8246Jp18,People & Blogs,3
mfqcRoldxO0,People & Blogs,3
Bvp0iCbXnyQ,People & Blogs,3
FBnB3IH_6Hk,People & Blogs,3
6b2AGAB2pA0,People & Blogs,3
XJCrR9HcH9Y,Comedy,3
S1xIsfnHcxc,Entertainment,3
3-Xq_Zz3nPA,Film & Animation,3
FpHgR7izIvI,Music,3
8gds2_1I6Fk,Music,4
_-pdljs3KJA,Music,4
OcYUEsZ1crg,Music,4
8wL_ikgTThE,Music,4
C-aeAUmP40M,Music,4
FzLpP8VBC6E,Music,4
jnxTNyxBHRk,Music,4
0RZ-Vym4T_0,Entertainment,4
3-Xq_Zz3nPA,Film & Animation,5
ZEs_WSJytNo,Entertainment,5
fojXwix2ke0,Entertainment,5
1bK5dzwhu-I,Music,5
nQh1qgygFNY,Music,5
UH3rWgB3pwE,Entertainment,5
i7CxJiMnCDc,Film & Animation,5
4cJPv7ShKQE,Music,5
PmYylOWeIWY,Music,5
BsF9eOfk2s4,Film & Animation,5
lFfHp83Xm04,Education,5
JFP24D15_XM,Film & Animation,6
lkJKyRjsuck,Entertainment,6
vWFq2T5j390,Entertainment,6
p9-YLYCUYdY,Music,6
5X7WWVTrBvM,Music,6
q27Nvqrv6bA,Comedy,6
v7K4vGYL9zI,Music,6
_KhQT-LGb-4,Music,6
jFGKJBPFdUA,Music,2
5X7WWVTrBvM,Music,2
J91qes3mXyc,Music,2
zAWsoFk2yVw,Music,2
OSUxrSe5GbI,Music,2
ixkoVwKQaJg,Music,2
8xTK_f0WUTw,Howto & Style,2
9TUS_W0cePw,Howto & Style,7
2rlMNJa_4Z0,Howto & Style,7
atNFx56UrWs,Howto & Style,7
1csfuyxfaCM,Howto & Style,7
tNYEedSem1g,Howto & Style,2
I6xFINBy8jU,Howto & Style,2
3ZPywGdT8Ok,Howto & Style,2
Cv86JTOdJFo,Howto & Style,2
ka5rioDPp0o,Howto & Style,2
LG4uuy_xYLg,Howto & Style,2
9vL3EjTn34E,Howto & Style,1
yMtUsS849Qg,Howto & Style,1
kyQkoYTJ4mo,Howto & Style,1
_kk8fh3mlZ8,Howto & Style,1
