@videoid,@viewcount_x,@userid_x,@likes_x
4COJmCaMxXg,7811058,1,160791
jlq9yjDUZN8,1837246,1,5101
uxV1_-7WrgU,487743,1,1464
naQXCgKgsXM,109503,1,106
4eIBisqx9_g,592594,1,11901
b-p3MDXJkrw,10576,1,76
eYrRVu7T12Y,962511,1,14184
HVsySz-h9r4,787358,1,11462
OdbBmvfThJY,323303,1,4216
jvZL7oTTtR8,39234,1,148
1jkszm02PbY,27266,1,517
xbQDdCN6IBg,1862,1,9
TDynSmrzpXw,579706,1,858
jSZ9jQy1sfE,25998,1,108
w06KRjtufsE,36468,1,184
4c9s3gNn-VY,4779,1,19
1xEMPm2Hp_4,1074761,1,49789
kurYPREl2dQ,2573803,1,18396
0LqSqnkTzxI,11499911,1,13064
EZ1YCFn1TR4,3055570,1,9315
QVgSyvzmbxw,95317194,1,403074
bbMLUadeMnA,15293549,1,493633
UvQ9y4w8unE,25029842,1,281126
zEv5_YspYRk,23708,1,392
_IuJsaMqtqc,6871655,1,32521
2X-UY1BMqSk,9582,1,9
0xVqLJe9_CY,168435,1,3221
Q-BpqyOT3a8,610907,1,9211
Im69kzhpR3I,333018,1,279
hd1W4CyPX58,147805,1,1379
MN1F7X8i7sQ,61411,1,975
pDPdTc6p7_g,56972,1,112
8xTK_f0WUTw,571,1,0
9TUS_W0cePw,758,1,0
2rlMNJa_4Z0,1442,1,0
atNFx56UrWs,601,1,0
1csfuyxfaCM,758,1,0
tNYEedSem1g,563,1,0
I6xFINBy8jU,523,1,0
3ZPywGdT8Ok,797,1,0
Cv86JTOdJFo,333,1,0
ka5rioDPp0o,374,1,0
LG4uuy_xYLg,760,1,0
9vL3EjTn34E,849,1,0
yMtUsS849Qg,887,1,0
kyQkoYTJ4mo,1032,1,0
_kk8fh3mlZ8,1597,1,0
gRlvn8zi7PY,1676,1,0
nWTR3xTe9iw,913,1,0
i487ttwqIe0,572,1,0
yx6XSu6Lyow,913,1,0
hdiJwvGylxM,1046,1,0
qFkPO7-o7ng,678,1,0
DTgWyvoDoZQ,963,1,0
i76omG1ENqo,964,1,0
YLpcLGxG_XE,1253,1,0
II02TV6pvf4,1595,1,0
ULyDUYoaqxE,1403,1,0
1EaXrdzvmJU,1439,1,0
-VOaEJvIip4,4610,1,0
R409XU7SSlY,6177,1,0
tcIqIIHmX_U,57748,1,210
4pGn5Y1qM9k,6529,1,31
x6Q7c9RyMzk,239324413,1,1668734
BU9TdMqLAIg,2490,1,6
lMhoz29A2Jg,23131,1,25
bQKL2cYt2PI,5803,1,5
ULyDUYoaqxE,1403,1,0
1EaXrdzvmJU,1439,1,0
-VOaEJvIip4,4610,1,0
R409XU7SSlY,6177,1,0
gB8OmhRJ0D8,32737,1,75
bLxoZZ_EkL8,7674,1,2
XPamNWh9E5c,22506,1,43
ULyDUYoaqxE,1403,1,0
ULyDUYoaqxE,1403,1,0
R409XU7SSlY,6177,1,0
TtvFh43JA8M,586,1,21
tdCk3NQC_FU,480,1,11
cD69UJeIZ_c,599,1,54
II02TV6pvf4,1595,1,0
Yn4xfvGaau8,7724,1,0
BU9TdMqLAIg,2490,1,6
CriSHYMtg9M,7683,1,46
kcYc9SQ7JjY,609,1,5
siyDNe7SPZU,549,1,3
0oc1QJmyPB8,889,1,3
P_aDrH_gxs4,7636094,1,47638
6snR8lupF5E,4767,1,43
tI8ijLpZaHk,606595,1,12463
gxJyevFd9FE,29953,1,160
4pGn5Y1qM9k,6529,1,31
gxJyevFd9FE,29953,1,160
EiGl2Ag35AI,119149,1,638
c4ybC5bUA7U,2541,1,13
